distance,0.8,0.6,0.4,0.2,name,,,,,,,
9.36,0.000986,0.001148,0.001288,0.033802,tree,,,,,,,
12.47,0.000231,0.000366,0.00106,0.025823,tree,,,,,,,
15.59,0.002323,0.002274,0.002184,0.020087,tree,,,,,,,
18.71,0.000127,0.000194,0.000353,0.017092,tree,,,,,,,
21.83,0.001048,0.00103,0.001094,0.01562,tree,,,,,,,
24.95,0.000242,0.000265,0.000401,0.012673,tree,,,,,,,
28.07,0.001291,0.001499,0.001487,0.01126,tree,,,,,,,
31.19,0.001331,0.001283,0.0014,0.009462,tree,,,,,,,
34.31,0.000156,0.00036,0.000403,0.008359,tree,,,,,,,
37.42,0.000193,0.000345,0.000247,0.007624,tree,,,,,,,
40.54,0.002111,0.001834,0.00169,0.006989,tree,,,,,,,
43.66,0.000262,0.000498,0.000362,0.007261,tree,,,,,,,
46.78,0.000206,0.000378,0.000461,0.007164,tree,,,,,,,
49.9,0.001116,0.001032,0.001153,0.005458,tree,,,,,,,
0.68,0.012393,0.023157,0.044125,0.06072,hammer,,,,,,,
1.35,0.003979,0.011819,0.021115,0.026467,hammer,,,,,,,
2.03,0.002058,0.007789,0.011417,0.015895,hammer,,,,,,,
2.71,0.001538,0.00562,0.007216,0.009957,hammer,,,,,,,
3.38,0.001264,0.004913,0.005701,0.006423,hammer,,,,,,,
4.06,0.000885,0.004346,0.00465,0.00466,hammer,,,,,,,
4.74,0.000419,0.00257,0.002907,0.002734,hammer,,,,,,,
5.41,0.002136,0.003658,0.003738,0.003229,hammer,,,,,,,
6.09,0.001108,0.002178,0.002371,0.002927,hammer,,,,,,,
6.77,0.000826,0.002785,0.004081,0.002829,hammer,,,,,,,
7.44,0.000383,0.001396,0.00196,0.001207,hammer,,,,,,,
8.12,0.000148,0.002056,0.001865,0.002676,hammer,,,,,,,
8.8,0.000771,0.001425,0.002264,0.001993,hammer,,,,,,,
9.47,0.000969,0.000642,0.001657,0.001326,hammer,,,,,,,
0.42,0.002048,0.00377,0.004804,0.007859,CocacolaFinal,,,,,,,
0.83,0.00112,0.003732,0.006079,0.006007,CocacolaFinal,,,,,,,
1.25,0.00081,0.002107,0.002882,0.002865,CocacolaFinal,,,,,,,
1.66,0.000216,0.000677,0.001391,0.002037,CocacolaFinal,,,,,,,
2.08,0.000131,0.000441,0.000991,0.001332,CocacolaFinal,,,,,,,
2.49,0.000052,0.000683,0.000455,0.000597,CocacolaFinal,,,,,,,
2.91,0.000028,0.002101,0.002061,0.001621,CocacolaFinal,,,,,,,
3.32,0.00001,0.001039,0.002199,0.001232,CocacolaFinal,,,,,,,
3.74,0.000035,0.000716,0.001733,0.000627,CocacolaFinal,,,,,,,
4.15,0.00001,0.000927,0.001389,0.000771,CocacolaFinal,,,,,,,
4.57,0.000007,0.000741,0.000995,0.000895,CocacolaFinal,,,,,,,
4.98,0.000002,0.00067,0.001406,0.001145,CocacolaFinal,,,,,,,
5.4,0.000003,0.000864,0.001261,0.001348,CocacolaFinal,,,,,,,
1.17,0.026932,0.034349,0.038917,0.080697,plane,,,,,,,
2.31,0.012774,0.014648,0.017751,0.03277,plane,,,,,,,
3.47,0.009128,0.00959,0.010326,0.018447,plane,,,,,,,
4.63,0.005916,0.006358,0.006655,0.012777,plane,,,,,,,
5.79,0.00502,0.00548,0.0056,0.009189,plane,,,,,,,
6.96,0.002939,0.002859,0.003283,0.007396,plane,,,,,,,
8.13,0.001747,0.002038,0.002227,0.006081,plane,,,,,,,
9.29,0.001833,0.001759,0.003069,0.00584,plane,,,,,,,
10.46,0.001623,0.001814,0.002175,0.00564,plane,,,,,,,
11.63,0.001855,0.001452,0.001981,0.004096,plane,,,,,,,
12.79,0.00123,0.001488,0.001661,0.003327,plane,,,,,,,
13.96,0.001152,0.001729,0.001712,0.004073,plane,,,,,,,
15.13,0.000746,0.000882,0.001024,0.002408,plane,,,,,,,
16.3,0.000922,0.000778,0.001241,0.003069,plane,,,,,,,
17.47,0.000828,0.000876,0.001359,0.002866,plane,,,,,,,
18.64,0.000339,0.000855,0.000951,0.001794,plane,,,,,,,
19.81,0.001052,0.000837,0.000894,0.002196,plane,,,,,,,
20.97,0.000441,0.000461,0.000494,0.001076,plane,,,,,,,
22.14,0.000234,0.000405,0.000672,0.001859,plane,,,,,,,
23.31,0.000243,0.000353,0.000422,0.001224,plane,,,,,,,
24.48,0.000334,0.000605,0.00084,0.001637,plane,,,,,,,
25.65,0.00031,0.000454,0.000602,0.001393,plane,,,,,,,
26.82,0.000122,0.000329,0.000435,0.001,plane,,,,,,,
27.99,0.000078,0.000111,0.000256,0.000633,plane,,,,,,,
29.16,0.000131,0.000116,0.00056,0.001025,plane,,,,,,,
30.33,0.000155,0.000159,0.000294,0.000942,plane,,,,,,,
31.5,0.000053,0.000259,0.000231,0.00133,plane,,,,,,,
32.67,0.000034,0.000138,0.00019,0.000524,plane,,,,,,,
12,,,,,,,,,,,,
